object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
13club1907cartoon10,Jim Crow Cartoon,"Racial Cartoon in Jim Crow style by the Thirteen Club. Featured in the report detailing Club trip to Washington.  ",,The Thirteen Club,,,,1907,,,Thirteen Club,Courtesy of the New York Public Library Digital Collections,,
13club1888chart,1888 Club Death Statistics,"Chart showing the dates of death of Thirteen Club Members which feel within and without the period of superstition. ",,The Thirteen Club,,,,1888,,,,Courtesy of UCSB Special Collections,,
13club1883cover1,First Annual Report,"The cover of the Thirteen Club's first annual report. Features cartoon of 13 men in formal attire dining, the grim reaper in the doorway, and the Club motto.",,The Thirteen Club,,,,1883,,,,Courtesy of UCSB Special Collections,,
13clubnotablenewyorkersmcadam,Judge David McAdam,Portrait of Judge David McAdam.,,,,,,1899,,,"King, Moses. Notable New Yorkers of 1896-1899. Moses King, 1899.",Courtesy of Hathi Trust,,
13club1852foxsisters,"The Fox Sisters, c 1852","Portrait of the famous mediums, the Fox sisters c 1852. ",,,,,,"1852, c.",,,https://loc.gov/pictures/resource/pga.09494/,Courtesy of Library of Congress,,
13club1891cover,Ninth Annual Report,Annual report cover features a man and a skeleton each raising a toast.,,The Thirteen Club,,,,1891,,,,Courtesy of UCSB Special Collections,,
13clubreport5crawfordpoem,Poem for the Club by Jack Crawford,"Poem for the Club by Jack Crawford, written in southwestern dialect. ",,The Thirteen Club,"The poem, written in Captain Jack Crawford’s signature dialect prose, begins with Southwestern men in a saloon agreeing to form a Thirteen Club of their own “jes’ like those New York blokes,” and ends with all 13 men experiencing absurdly bad luck and giving into superstitious belief after all. Several of the poem’s victims suffer injury, while others comedically lose their wives or girlfriends to other men. In contrast, the NY Club trounces superstition in a “bold, defiant” physical fight and emerges unscathed despite their ritual tempting of fate.",,,1886,,,,Courtesy of UCSB Special Collections,,
